Metric Name,Metric Unit,Maximum,Minimum,Average
ID,,,,0
Process ID,,,,612198
Process Name,,,,iter001_draft
Host Name,,,,127.0.0.1
Kernel Name,,,,"matmul_bf16_fp32_draft(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, int, int, int)"
Context,,,,1
Stream,,,,7
Block Size,,,,"(512, 1, 1)"
Grid Size,,,,"(128, 128, 1)"
Device,,,,0
CC,,,,8.6
c2clink__enabled_mask,,,,0
c2clink__present,,,,0
derived__avg_thread_executed,thread,,,32.000000
derived__avg_thread_executed_true,thread,,,30.000000
derived__memory_l1_conflicts_shared_nway,byte,,,0.000000
derived__memory_l1_wavefronts_shared_excessive,byte,,,0.000000
derived__memory_l2_theoretical_sectors_global_excessive,byte,,,0.000000
derived__sm__sass_thread_inst_executed_op_dfma_pred_on_x2,thread,,,184.000000
derived__sm__sass_thread_inst_executed_op_ffma_pred_on_x2,thread,,,11776.000000
derived__smsp__inst_executed_op_branch_pct,%,,,0.064153
derived__smsp__sass_thread_inst_executed_op_dfma_pred_on_x2,thread,,,0.000000
derived__smsp__sass_thread_inst_executed_op_ffma_pred_on_x2,thread,,,0.000000
device__attribute_architecture,,,,368
device__attribute_async_engine_count,,,,2
device__attribute_can_flush_remote_writes,,,,0
device__attribute_can_map_host_memory,,,,1
device__attribute_can_tex2d_gather,,,,1
device__attribute_can_use_64_bit_stream_mem_ops,,,,1
device__attribute_can_use_64_bit_stream_mem_ops_v1,,,,0
device__attribute_can_use_host_pointer_for_registered_mem,,,,1
device__attribute_can_use_stream_mem_ops_v1,,,,0
device__attribute_can_use_stream_wait_value_nor,,,,1
device__attribute_can_use_stream_wait_value_nor_v1,,,,0
device__attribute_chip,,,,372
device__attribute_clock_rate,,,,"1,770,000"
device__attribute_cluster_launch,,,,0
device__attribute_compute_capability_major,,,,8
device__attribute_compute_capability_minor,,,,6
device__attribute_compute_mode,,,,0
device__attribute_compute_preemption_supported,,,,1
device__attribute_concurrent_kernels,,,,1
device__attribute_concurrent_managed_access,,,,1
device__attribute_confidential_computing_mode,,,,No-CC
device__attribute_cooperative_launch,,,,1
device__attribute_cooperative_multi_device_launch,,,,1
device__attribute_deferred_mapping_cuda_array_supported,,,,1
device__attribute_device_index,,,,0
device__attribute_direct_managed_mem_access_from_host,,,,0
device__attribute_display_name,,,,NVIDIA GeForce RTX 3070
device__attribute_dma_buf_supported,,,,0
device__attribute_ecc_enabled,,,,0
device__attribute_fb_bus_width,,,,256
device__attribute_fbp_count,,,,4
device__attribute_generic_compression_supported,,,,1
device__attribute_global_l1_cache_supported,,,,1
device__attribute_global_memory_bus_width,,,,256
device__attribute_gpu_direct_rdma_flush_writes_options,,,,1
device__attribute_gpu_direct_rdma_supported,,,,0
device__attribute_gpu_direct_rdma_with_cuda_vmm_supported,,,,0
device__attribute_gpu_direct_rdma_writes_ordering,,,,0
device__attribute_gpu_overlap,,,,1
device__attribute_gpu_pci_device_id,,,,"612,896,990"
device__attribute_gpu_pci_ext_device_id,,,,"9,352"
device__attribute_gpu_pci_ext_downstream_link_rate,,,,"16,000"
device__attribute_gpu_pci_ext_downstream_link_width,,,,16
device__attribute_gpu_pci_ext_gen,,,,3
device__attribute_gpu_pci_ext_gpu_gen,,,,3
device__attribute_gpu_pci_ext_gpu_link_rate,,,,"16,000"
device__attribute_gpu_pci_ext_gpu_link_width,,,,16
device__attribute_gpu_pci_revision_id,,,,161
device__attribute_gpu_pci_sub_system_id,,,,"2,285,375,555"
device__attribute_handle_type_posix_file_descriptor_supported,,,,1
device__attribute_handle_type_win32_handle_supported,,,,0
device__attribute_handle_type_win32_kmt_handle_supported,,,,0
device__attribute_host_native_atomic_supported,,,,0
device__attribute_host_numa_id,,,,0
device__attribute_host_register_supported,,,,1
device__attribute_implementation,,,,372
device__attribute_integrated,,,,0
device__attribute_ipc_event_supported,,,,1
device__attribute_kernel_exec_timeout,,,,0
device__attribute_l2_cache_size,,,,"4,194,304"
device__attribute_l2s_count,,,,32
device__attribute_limits_max_cta_per_sm,,,,16
device__attribute_local_l1_cache_supported,,,,1
device__attribute_managed_memory,,,,1
device__attribute_max_access_policy_window_size,,,,"134,213,632"
device__attribute_max_block_dim_x,,,,"1,024"
device__attribute_max_block_dim_y,,,,"1,024"
device__attribute_max_block_dim_z,,,,64
device__attribute_max_blocks_per_multiprocessor,,,,16
device__attribute_max_gpu_frequency_khz,,,,"1,770,000"
device__attribute_max_grid_dim_x,,,,"2,147,483,647"
device__attribute_max_grid_dim_y,,,,"65,535"
device__attribute_max_grid_dim_z,,,,"65,535"
device__attribute_max_ipc_per_multiprocessor,,,,4
device__attribute_max_ipc_per_scheduler,,,,1
device__attribute_max_mem_frequency_khz,,,,"7,001,000"
device__attribute_max_persisting_l2_cache_size,,,,"3,145,728"
device__attribute_max_pitch,,,,"2,147,483,647"
device__attribute_max_registers_per_block,,,,"65,536"
device__attribute_max_registers_per_multiprocessor,,,,"65,536"
device__attribute_max_registers_per_thread,,,,255
device__attribute_max_shared_memory_per_block,,,,"49,152"
device__attribute_max_shared_memory_per_block_optin,,,,"101,376"
device__attribute_max_shared_memory_per_multiprocessor,,,,"102,400"
device__attribute_max_threads_per_block,,,,"1,024"
device__attribute_max_threads_per_multiprocessor,,,,"1,536"
device__attribute_max_warps_per_multiprocessor,,,,48
device__attribute_max_warps_per_scheduler,,,,12
device__attribute_maximum_surface1d_layered_layers,,,,"2,048"
device__attribute_maximum_surface1d_layered_width,,,,"32,768"
device__attribute_maximum_surface1d_width,,,,"32,768"
device__attribute_maximum_surface2d_height,,,,"65,536"
device__attribute_maximum_surface2d_layered_height,,,,"32,768"
device__attribute_maximum_surface2d_layered_layers,,,,"2,048"
device__attribute_maximum_surface2d_layered_width,,,,"32,768"
device__attribute_maximum_surface2d_width,,,,"131,072"
device__attribute_maximum_surface3d_depth,,,,"16,384"
device__attribute_maximum_surface3d_height,,,,"16,384"
device__attribute_maximum_surface3d_width,,,,"16,384"
device__attribute_maximum_surfacecubemap_layered_layers,,,,"2,046"
device__attribute_maximum_surfacecubemap_layered_width,,,,"32,768"
device__attribute_maximum_surfacecubemap_width,,,,"32,768"
device__attribute_maximum_texture1d_layered_layers,,,,"2,048"
device__attribute_maximum_texture1d_layered_width,,,,"32,768"
device__attribute_maximum_texture1d_linear_width,,,,"268,435,456"
device__attribute_maximum_texture1d_mipmapped_width,,,,"32,768"
device__attribute_maximum_texture1d_width,,,,"131,072"
device__attribute_maximum_texture2d_gather_height,,,,"32,768"
device__attribute_maximum_texture2d_gather_width,,,,"32,768"
device__attribute_maximum_texture2d_height,,,,"65,536"
device__attribute_maximum_texture2d_layered_height,,,,"32,768"
device__attribute_maximum_texture2d_layered_layers,,,,"2,048"
device__attribute_maximum_texture2d_layered_width,,,,"32,768"
device__attribute_maximum_texture2d_linear_height,,,,"65,000"
device__attribute_maximum_texture2d_linear_pitch,,,,"2,097,120"
device__attribute_maximum_texture2d_linear_width,,,,"131,072"
device__attribute_maximum_texture2d_mipmapped_height,,,,"32,768"
device__attribute_maximum_texture2d_mipmapped_width,,,,"32,768"
device__attribute_maximum_texture2d_width,,,,"131,072"
device__attribute_maximum_texture3d_depth,,,,"16,384"
device__attribute_maximum_texture3d_depth_alternate,,,,"32,768"
device__attribute_maximum_texture3d_height,,,,"16,384"
device__attribute_maximum_texture3d_height_alternate,,,,"8,192"
device__attribute_maximum_texture3d_width,,,,"16,384"
device__attribute_maximum_texture3d_width_alternate,,,,"8,192"
device__attribute_maximum_texturecubemap_layered_layers,,,,"2,046"
device__attribute_maximum_texturecubemap_layered_width,,,,"32,768"
device__attribute_maximum_texturecubemap_width,,,,"32,768"
device__attribute_mem_sync_domain_count,,,,1
device__attribute_memory_clock_rate,,,,"7,001,000"
device__attribute_memory_pools_supported,,,,1
device__attribute_mempool_supported_handle_types,,,,1
device__attribute_multi_gpu_board,,,,0
device__attribute_multi_gpu_board_group_id,,,,0
device__attribute_multicast_supported,,,,0
device__attribute_multiprocessor_count,,,,46
device__attribute_num_l2s_per_fbp,,,,8
device__attribute_num_schedulers_per_multiprocessor,,,,4
device__attribute_num_tex_per_multiprocessor,,,,1
device__attribute_numa_config,,,,0
device__attribute_pageable_memory_access,,,,0
device__attribute_pageable_memory_access_uses_host_page_tables,,,,0
device__attribute_pci_bus_id,,,,33
device__attribute_pci_device_id,,,,0
device__attribute_pci_domain_id,,,,0
device__attribute_ram_location,,,,1
device__attribute_ram_type,,,,17
device__attribute_reserved_shared_memory_per_block,,,,"1,024"
device__attribute_sass_level,,,,8
device__attribute_single_to_double_precision_perf_ratio,,,,32
device__attribute_sparse_cuda_array_supported,,,,1
device__attribute_stream_priorities_supported,,,,1
device__attribute_surface_alignment,,,,512
device__attribute_tcc_driver,,,,0
device__attribute_tensor_map_access_supported,,,,0
device__attribute_texture_alignment,,,,512
device__attribute_texture_pitch_alignment,,,,32
device__attribute_total_constant_memory,,,,"65,536"
device__attribute_total_memory,,,,"8,358,002,688"
device__attribute_unified_addressing,,,,1
device__attribute_unified_function_pointers,,,,0
device__attribute_virtual_address_management_supported,,,,1
device__attribute_warp_size,,,,32
dram__bytes.sum.peak_sustained,byte/cycle,,,64.000000
dram__bytes.sum.per_second,Gbyte/second,,,161.909044
dram__bytes_read.sum,Gbyte,,,2.212824
dram__bytes_read.sum.pct_of_peak_sustained_elapsed,%,,,25.074967
dram__bytes_read.sum.per_second,Gbyte/second,,,109.063171
dram__bytes_write.sum,Gbyte,,,1.072210
dram__bytes_write.sum.pct_of_peak_sustained_elapsed,%,,,12.149917
dram__bytes_write.sum.per_second,Gbyte/second,,,52.845873
dram__cycles_active.avg.pct_of_peak_sustained_elapsed,%,,,37.224884
dram__cycles_elapsed.avg.per_second,cycle/nsecond,,,6.796069
dram__sectors_read.sum,sector,,,69150740.000000
dram__sectors_write.sum,sector,,,33506556.000000
fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed,%,,,22.423942
gpc__cycles_elapsed.avg.per_second,cycle/nsecond,,,1.498354
gpc__cycles_elapsed.max,cycle,,,30425075.000000
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed,%,,,31.187103
gpu__compute_memory_request_throughput.avg.pct_of_peak_sustained_elapsed,%,,,52.301303
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,%,,,52.301303
gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,%,,,37.224884
gpu__time_duration.sum,msecond,,,20.289376
idc__request_cycles_active.avg.pct_of_peak_sustained_elapsed,%,,,0.000000
inst_executed,inst,,,2259681280.000000
l1tex__cycles_active.sum,cycle,,,1395352208.000000
l1tex__cycles_elapsed.sum,cycle,,,1398400640.000000
l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,,,,0
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_atom.sum,,,,0
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,,,,0
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,,,,0
l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed,%,,,7.498601
l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed,%,,,2.697043
l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed,%,,,31.187103
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,,,,"295,525,152"
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,%,,,21.133082
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom.sum,,,,0
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom.sum.pct_of_peak_sustained_elapsed,%,,,0.000000
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum,,,,"134,250,915"
